Price,Type,Year
66.72240392769149,Electricity Import,2021
63.21240492769149,Electricity Import,2021
61.45240292769149,Electricity Import,2021
58.922403927691484,Electricity Import,2021
58.73240592769148,Electricity Import,2021
58.16240592769149,Electricity Import,2021
58.622404927691484,Electricity Import,2021
70.15323513658277,Electricity Import,2021
73.76323613658276,Electricity Import,2021
73.88323513658275,Electricity Import,2021
76.08323613658276,Electricity Import,2021
79.66323413658276,Electricity Import,2021
74.37323713658276,Electricity Import,2021
73.61323513658276,Electricity Import,2021
75.47323513658276,Electricity Import,2021
81.87323713658276,Electricity Import,2021
89.14323313658277,Electricity Import,2021
89.49323613658275,Electricity Import,2021
89.24323613658275,Electricity Import,2021
86.28323713658276,Electricity Import,2021
82.74323613658275,Electricity Import,2021
82.33323613658276,Electricity Import,2021
72.39005991805035,Electricity Import,2021
69.36005791805034,Electricity Import,2021
60.96240492769149,Electricity Import,2021
59.622404927691484,Electricity Import,2021
58.53240492769148,Electricity Import,2021
56.08240392769148,Electricity Import,2021
57.53240492769148,Electricity Import,2021
60.622404927691484,Electricity Import,2021
63.49240392769149,Electricity Import,2021
71.12005991805034,Electricity Import,2021
74.67005891805034,Electricity Import,2021
74.67005891805034,Electricity Import,2021
74.82006091805034,Electricity Import,2021
78.62005991805034,Electricity Import,2021
74.67005891805034,Electricity Import,2021
73.36005791805034,Electricity Import,2021
76.12005991805034,Electricity Import,2021
82.66006091805035,Electricity Import,2021
84.67005891805034,Electricity Import,2021
85.75006091805035,Electricity Import,2021
84.84005691805035,Electricity Import,2021
82.70005791805035,Electricity Import,2021
77.70005791805035,Electricity Import,2021
74.92005891805034,Electricity Import,2021
71.12005991805034,Electricity Import,2021
68.78005991805034,Electricity Import,2021
60.122404927691484,Electricity Import,2021
55.74240392769149,Electricity Import,2021
53.71240492769149,Electricity Import,2021
43.182404927691486,Electricity Import,2021
42.38240492769149,Electricity Import,2021
42.58240392769149,Electricity Import,2021
43.33240392769149,Electricity Import,2021
47.64005791805035,Electricity Import,2021
48.32005891805035,Electricity Import,2021
48.67005891805035,Electricity Import,2021
48.74005891805035,Electricity Import,2021
48.540059918050346,Electricity Import,2021
48.50005891805035,Electricity Import,2021
48.690058918050354,Electricity Import,2021
49.170058918050344,Electricity Import,2021
50.720057918050344,Electricity Import,2021
51.20005991805034,Electricity Import,2021
50.840058918050346,Electricity Import,2021
50.590058918050346,Electricity Import,2021
50.23005791805035,Electricity Import,2021
49.71005991805035,Electricity Import,2021
48.85005891805035,Electricity Import,2021
47.59005891805035,Electricity Import,2021
47.330058918050355,Electricity Import,2021
42.58240392769149,Electricity Import,2021
42.41240392769149,Electricity Import,2021
42.562405927691486,Electricity Import,2021
43.112404927691486,Electricity Import,2021
44.372404927691484,Electricity Import,2021
46.74240392769149,Electricity Import,2021
49.38240492769149,Electricity Import,2021
78.08323613658276,Electricity Import,2021
78.90323513658277,Electricity Import,2021
84.28323713658276,Electricity Import,2021
85.41323413658276,Electricity Import,2021
80.95323513658276,Electricity Import,2021
85.41323413658276,Electricity Import,2021
86.87323713658276,Electricity Import,2021
86.91323413658276,Electricity Import,2021
89.38323513658275,Electricity Import,2021
94.10323613658275,Electricity Import,2021
88.93323413658275,Electricity Import,2021
82.61323513658276,Electricity Import,2021
66.56323513658276,Electricity Import,2021
63.703235136582755,Electricity Import,2021
59.83323613658275,Electricity Import,2021
50.02005891805035,Electricity Import,2021
50.48005791805035,Electricity Import,2021
45.98240592769148,Electricity Import,2021
45.61240492769148,Electricity Import,2021
45.672403927691484,Electricity Import,2021
46.322405927691484,Electricity Import,2021
48.342403927691485,Electricity Import,2021
54.312403927691484,Electricity Import,2021
72.17240392769149,Electricity Import,2021
88.88323513658275,Electricity Import,2021
89.00323413658276,Electricity Import,2021
90.06323513658276,Electricity Import,2021
91.34323413658277,Electricity Import,2021
90.36323513658276,Electricity Import,2021
91.17323613658276,Electricity Import,2021
90.77323413658276,Electricity Import,2021
91.39323313658277,Electricity Import,2021
93.14323713658275,Electricity Import,2021
94.48323313658275,Electricity Import,2021
89.01323613658276,Electricity Import,2021
83.54323513658275,Electricity Import,2021
69.66323413658276,Electricity Import,2021
68.48323313658275,Electricity Import,2021
60.94323613658275,Electricity Import,2021
51.880057918050355,Electricity Import,2021
52.50005891805034,Electricity Import,2021
47.25240392769148,Electricity Import,2021
46.64240592769149,Electricity Import,2021
46.512404927691485,Electricity Import,2021
46.69240492769149,Electricity Import,2021
47.53240492769148,Electricity Import,2021
49.25240392769148,Electricity Import,2021
54.072405927691484,Electricity Import,2021
68.06323513658276,Electricity Import,2021
70.76323613658276,Electricity Import,2021
74.95323513658276,Electricity Import,2021
